tokens,tags
"['Naloxone' 'reverses' 'the' 'antihypertensive' 'effect' 'of' 'clonidine'
 '.']",[1 0 0 0 0 0 1 0]
"['In' 'unanesthetized' ',' 'spontaneously' 'hypertensive' 'rats' 'the'
 'decrease' 'in' 'blood' 'pressure' 'and' 'heart' 'rate' 'produced' 'by'
 'intravenous' 'clonidine' ',' '5' 'to' '20' 'micrograms' '/' 'kg' ','
 'was' 'inhibited' 'or' 'reversed' 'by' 'nalozone' ',' '0' '.']",[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
['2' 'to' '2' 'mg' '/' 'kg' '.'],[0 0 0 0 0 0 0]
"['The' 'hypotensive' 'effect' 'of' '100' 'mg' '/' 'kg' 'alpha-methyldopa'
 'was' 'also' 'partially' 'reversed' 'by' 'naloxone' '.']",[0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0]
"['Naloxone' 'alone' 'did' 'not' 'affect' 'either' 'blood' 'pressure' 'or'
 'heart' 'rate' '.']",[1 0 0 0 0 0 0 0 0 0 0 0]
"['In' 'brain' 'membranes' 'from' 'spontaneously' 'hypertensive' 'rats'
 'clonidine' ',' '10' '(-' '8' ')' 'to' '10' '(-' '5' ')' 'M' ',' 'did'
 'not' 'influence' 'stereoselective' 'binding' 'of' '[3H]-naloxone' '('
 '8' 'nM' '),' 'and' 'naloxone' ',' '10' '(-' '8' ')' 'to' '10' '(-' '4'
 ')' 'M' ',' 'did' 'not' 'influence' 'clonidine' '-' 'suppressible'
 'binding' 'of' '[3H]-dihydroergocryptine' '(' '1' 'nM' ').' 'These'
 'findings' 'indicate' 'that' 'in' 'spontaneously' 'hypertensive' 'rats'
 'the' 'effects' 'of' 'central' 'alpha' '-' 'adrenoceptor' 'stimulation'
 'involve' 'activation' 'of' 'opiate' 'receptors' '.']","[0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
"['As' 'naloxone' 'and' 'clonidine' 'do' 'not' 'appear' 'to' 'interact'
 'with' 'the' 'same' 'receptor' 'site' ',' 'the' 'observed' 'functional'
 'antagonism' 'suggests' 'the' 'release' 'of' 'an' 'endogenous' 'opiate'
 'by' 'clonidine' 'or' 'alpha-methyldopa']",[0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1]
['Lidocaine' '-' 'induced' 'cardiac' 'asystole' '.'],[1 0 0 2 3 0]
"['Intravenous' 'administration' 'of' 'a' 'single' '50' '-' 'mg' 'bolus'
 'of' 'lidocaine' 'in' 'a' '67' '-' 'year' '-' 'old' 'man' 'resulted' 'in'
 'profound' 'depression' 'of' 'the' 'activity' 'of' 'the' 'sinoatrial'
 'and' 'atrioventricular' 'nodal' 'pacemakers' '.']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0]
"['The' 'patient' 'had' 'no' 'apparent' 'associated' 'conditions' 'which'
 'might' 'have' 'predisposed' 'him' 'to' 'the' 'development' 'of'
 'bradyarrhythmias' ';' 'and' ',' 'thus' ',' 'this' 'probably'
 'represented' 'a' 'true' 'idiosyncrasy' 'to' 'lidocaine']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1]
['Suxamethonium' 'infusion' 'rate' 'and' 'observed' 'fasciculations' '.'],[1 0 0 0 0 2 0]
['A' 'dose' '-' 'response' 'study' '.'],[0 0 0 0 0 0]
['Suxamethonium' 'chloride' '(' 'Sch' ')' 'was' 'administered' 'i' '.'],[1 4 0 1 0 0 0 0 0]
['v' '.'],[0 0]
['to' '36' 'adult' 'males' 'at' 'six' 'rates' ':' '0' '.'],[0 0 0 0 0 0 0 0 0 0]
['25' 'mg' 's' '-' '1' 'to' '20' 'mg' 's' '-' '1' '.'],[0 0 0 0 0 0 0 0 0 0 0 0]
"['The' 'infusion' 'was' 'discontinued' 'either' 'when' 'there' 'was' 'no'
 'muscular' 'response' 'to' 'tetanic' 'stimulation' 'of' 'the' 'ulnar'
 'nerve' 'or' 'when' 'Sch' '120' 'mg' 'was' 'exceeded' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0]
['Six' 'additional' 'patients' 'received' 'a' '30' '-' 'mg' 'i' '.'],[0 0 0 0 0 0 0 0 0 0]
['v' '.'],[0 0]
['bolus' 'dose' '.'],[0 0 0]
"['Fasciculations' 'in' 'six' 'areas' 'of' 'the' 'body' 'were' 'scored'
 'from' '0' 'to' '3' 'and' 'summated' 'as' 'a' 'total' 'fasciculation'
 'score' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0]
"['The' 'times' 'to' 'first' 'fasciculation' ',' 'twitch' 'suppression'
 'and' 'tetanus' 'suppression' 'were' 'inversely' 'related' 'to' 'the'
 'infusion' 'rates' '.']",[0 0 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0]
"['Fasciculations' 'in' 'the' 'six' 'areas' 'and' 'the' 'total'
 'fasciculation' 'score' 'were' 'related' 'directly' 'to' 'the' 'rate'
 'of' 'infusion' '.']",[2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0]
['Total' 'fasciculation'],[0 2]
