id,original_tokens,kept_tokens,removed
10516,13,13,0
5914,25,25,0
5298,25,25,0
2611,30,30,0
7695,27,27,0
4959,31,31,0
1201,13,13,0
10268,44,44,0
10502,18,18,0
12349,127,127,0
10032,24,24,0
11117,27,27,0
6484,39,39,0
5827,16,16,0
4032,22,22,0
9226,19,19,0
11648,17,16,1
5375,41,41,0
9290,2,2,0
2900,10,10,0
1881,9,9,0
2337,11,11,0
6974,33,33,0
6987,29,29,0
3720,11,11,0
11201,52,52,0
4376,22,22,0
6171,26,26,0
5563,31,31,0
4374,13,13,0
10622,21,21,0
5623,37,37,0
7925,36,36,0
5663,34,34,0
12220,40,32,8
11315,37,37,0
9195,12,12,0
335,22,22,0
8092,9,9,0
10099,16,16,0
5686,16,16,0
2227,2,2,0
3303,26,26,0
8177,60,16,44
1271,30,30,0
10575,28,28,0
7756,15,15,0
9376,20,20,0
4661,30,30,0
8801,33,33,0
6131,32,32,0
771,11,11,0
10969,26,26,0
12254,38,38,0
10971,35,35,0
539,23,23,0
4172,18,18,0
3575,2,2,0
2936,11,11,0
3142,83,83,0
508,12,12,0
8991,32,32,0
730,31,31,0
128,23,23,0
6640,46,46,0
11615,44,44,0
7414,41,41,0
7732,46,46,0
7629,74,74,0
6107,17,16,1
12006,35,35,0
4544,21,21,0
12211,33,33,0
513,19,19,0
3604,12,12,0
5882,22,22,0
4512,35,35,0
2866,8,8,0
4380,6,6,0
1712,16,16,0
541,40,40,0
7279,8,8,0
598,33,32,1
4167,23,23,0
7027,21,21,0
7915,33,33,0
6027,40,40,0
5842,64,64,0
685,16,16,0
4412,31,31,0
4549,26,26,0
9608,28,28,0
9721,22,22,0
3729,20,20,0
2668,16,16,0
12285,6,6,0
688,29,29,0
6247,37,37,0
7411,27,27,0
3665,26,26,0
2855,7,7,0
3338,25,25,0
1380,37,37,0
752,36,36,0
2776,20,20,0
2335,13,13,0
2384,20,20,0
7140,47,47,0
12014,24,24,0
12410,45,45,0
2294,18,18,0
8521,15,15,0
112,27,27,0
4531,18,18,0
1198,16,16,0
3007,40,40,0
3332,10,10,0
2273,32,32,0
10363,38,32,6
7585,38,38,0
10399,23,23,0
2963,96,96,0
9310,36,36,0
2051,14,14,0
6328,27,27,0
11976,29,29,0
8779,21,21,0
5279,32,16,16
11549,19,19,0
2324,22,22,0
8202,18,18,0
10538,12,12,0
1169,19,19,0
6321,18,18,0
8132,13,13,0
3844,8,8,0
1968,49,49,0
9597,20,20,0
178,24,24,0
11706,27,27,0
8528,25,25,0
10333,40,40,0
4667,18,18,0
6769,44,32,12
11480,44,44,0
10248,23,23,0
9911,15,15,0
3784,3,3,0
5301,15,15,0
12476,36,36,0
12227,13,13,0
4877,43,43,0
2547,41,41,0
1187,20,16,4
12010,32,32,0
12256,25,25,0
10779,38,38,0
5745,16,16,0
10573,52,52,0
7843,12,12,0
5871,40,40,0
812,37,37,0
5306,33,33,0
12029,23,23,0
3564,6,6,0
1436,14,14,0
8462,27,27,0
12061,34,34,0
242,53,53,0
5987,8,8,0
7294,7,7,0
11514,34,34,0
1999,24,24,0
2495,39,39,0
6257,38,38,0
9448,24,24,0
12306,10,10,0
5415,32,32,0
2738,17,17,0
10252,30,30,0
8337,32,32,0
2562,17,17,0
1661,23,23,0
408,10,10,0
4844,14,14,0
3976,37,37,0
7248,40,40,0
3556,10,10,0
2477,14,14,0
3544,10,10,0
11147,32,32,0
3143,45,45,0
10625,37,32,5
1873,33,33,0
2656,27,27,0
11249,52,52,0
5350,27,27,0
2336,21,21,0
6159,23,23,0
10736,28,28,0
5287,22,22,0
434,32,32,0
10347,17,17,0
11961,11,11,0
3795,29,29,0
1898,18,18,0
7399,29,16,13
10020,8,8,0
12168,26,26,0
12158,18,18,0
2276,41,32,9
4742,39,39,0
9361,29,29,0
9001,28,28,0
7654,53,16,37
3566,8,8,0
2190,6,6,0
1211,37,37,0
10900,20,16,4
7859,38,32,6
960,9,9,0
4836,15,15,0
5386,29,29,0
6141,24,24,0
4223,29,29,0
