Dataset,Scenario,Run,Method,Seed,F1,P,R
BC2GM,2%,run2,COSINER+iBUS,64,65.4668,60.5554,71.2452
BC2GM,2%,run2,COSINER+iBUS,128,65.4936,60.9802,70.7285
BC2GM,2%,run2,COSINER+iBUS,256,63.5521,59.2001,68.5948
BC2GM,2%,run2,COSINER+iBUS,512,66.0334,60.6759,72.4287
BC2GM,2%,run2,COSINER+iBUS,1024,65.3445,59.4776,72.4954
BC2GM,2%,run2,ADAMER Only,64,66.1507,58.8541,75.5126
BC2GM,2%,run2,ADAMER Only,128,66.5911,60.9297,73.4122
BC2GM,2%,run2,ADAMER Only,256,66.1648,63.6714,68.8615
BC2GM,2%,run2,ADAMER Only,512,67.1552,60.8979,74.8458
BC2GM,2%,run2,ADAMER Only,1024,65.1546,60.1184,71.1119
BC2GM,2%,run2,ADAMER+iBUS,64,67.3462,61.9334,73.7956
BC2GM,2%,run2,ADAMER+iBUS,128,66.9267,61.8254,72.9455
BC2GM,2%,run2,ADAMER+iBUS,256,67.3576,64.1018,70.9618
BC2GM,2%,run2,ADAMER+iBUS,512,68.3877,62.4914,75.5126
BC2GM,2%,run2,ADAMER+iBUS,1024,66.2946,60.5372,73.2622
BC2GM,2%,run2,iBUS+ADAMER,64,67.6898,60.9561,76.096
BC2GM,2%,run2,iBUS+ADAMER,128,66.4739,61.1625,72.7955
BC2GM,2%,run2,iBUS+ADAMER,256,66.8322,60.9107,74.029
BC2GM,2%,run2,iBUS+ADAMER,512,65.9579,59.1969,74.4624
BC2GM,2%,run2,iBUS+ADAMER,1024,66.9803,61.4678,73.5789
