id,original_tokens,kept_tokens,removed
bc5cdr_4818,21,21,0
bc5cdr_631,21,16,5
bc5cdr_1188,19,19,0
bc5cdr_1319,24,16,8
bc5cdr_783,47,47,0
bc5cdr_1494,23,16,7
bc5cdr_278,10,10,0
bc5cdr_1875,37,37,0
bc5cdr_4369,18,18,0
bc5cdr_4779,4,4,0
bc5cdr_376,50,50,0
bc5cdr_4702,18,16,2
bc5cdr_864,19,19,0
bc5cdr_928,21,16,5
bc5cdr_1122,11,11,0
bc5cdr_4577,4,4,0
bc5cdr_18,2,2,0
bc5cdr_2220,7,7,0
bc5cdr_4497,21,21,0
bc5cdr_2113,4,4,0
bc5cdr_4546,17,17,0
bc5cdr_1615,48,48,0
bc5cdr_412,13,13,0
bc5cdr_758,21,16,5
bc5cdr_3263,23,16,7
bc5cdr_2811,23,23,0
bc5cdr_4485,37,32,5
bc5cdr_4259,72,32,40
bc5cdr_1270,2,2,0
bc5cdr_3597,25,25,0
bc5cdr_4393,35,35,0
bc5cdr_3199,31,31,0
bc5cdr_166,22,22,0
bc5cdr_4069,23,16,7
bc5cdr_1733,35,32,3
bc5cdr_2025,23,23,0
bc5cdr_2321,21,21,0
bc5cdr_1823,19,19,0
bc5cdr_1912,90,16,74
bc5cdr_3555,39,39,0
bc5cdr_956,7,7,0
bc5cdr_4642,19,19,0
bc5cdr_5100,21,21,0
bc5cdr_3278,33,33,0
bc5cdr_510,4,4,0
bc5cdr_317,9,9,0
bc5cdr_2723,31,31,0
bc5cdr_3539,44,44,0
bc5cdr_3136,35,35,0
bc5cdr_4509,4,4,0
bc5cdr_3478,6,6,0
bc5cdr_1836,18,16,2
bc5cdr_1388,9,9,0
bc5cdr_3439,19,19,0
bc5cdr_2380,32,32,0
bc5cdr_1152,10,10,0
bc5cdr_3152,31,31,0
bc5cdr_2333,10,10,0
bc5cdr_446,12,12,0
bc5cdr_1954,17,16,1
bc5cdr_2579,20,20,0
bc5cdr_2469,4,4,0
bc5cdr_3186,12,12,0
bc5cdr_2283,20,20,0
bc5cdr_1057,15,15,0
bc5cdr_2795,6,6,0
bc5cdr_1348,19,19,0
bc5cdr_4752,25,16,9
bc5cdr_4348,18,18,0
bc5cdr_1240,12,12,0
bc5cdr_1414,21,16,5
bc5cdr_1497,28,16,12
bc5cdr_1985,20,20,0
bc5cdr_4074,10,10,0
bc5cdr_3437,13,13,0
bc5cdr_3106,33,32,1
bc5cdr_371,10,10,0
bc5cdr_1653,16,16,0
bc5cdr_3238,32,16,16
bc5cdr_3057,40,40,0
bc5cdr_1177,21,21,0
bc5cdr_1832,36,36,0
bc5cdr_2832,43,43,0
bc5cdr_2508,19,19,0
bc5cdr_2415,9,9,0
bc5cdr_3579,4,4,0
bc5cdr_49,12,12,0
bc5cdr_491,59,48,11
bc5cdr_2697,32,32,0
bc5cdr_4608,9,9,0
bc5cdr_2782,14,14,0
bc5cdr_3648,50,50,0
bc5cdr_2148,32,16,16
bc5cdr_4161,29,29,0
bc5cdr_3556,49,16,33
bc5cdr_4198,21,16,5
bc5cdr_5106,21,21,0
bc5cdr_1691,4,4,0
bc5cdr_481,95,64,31
bc5cdr_1018,17,16,1
bc5cdr_799,14,14,0
bc5cdr_1662,15,15,0
