Dataset,Scenario,Run,Method,Seed,F1,P,R
BC5CDR,2%,run1,No Augmentation,64,82.0863,82.1408,82.0318
BC5CDR,2%,run1,No Augmentation,128,82.7957,83.8911,81.7286
BC5CDR,2%,run1,No Augmentation,256,82.8812,81.0136,84.837
BC5CDR,2%,run1,No Augmentation,512,80.0882,81.0281,79.1698
BC5CDR,2%,run1,No Augmentation,1024,82.3925,83.4825,81.3306
BC5CDR,2%,run1,iBUS Only,64,82.4413,82.7007,82.1835
BC5CDR,2%,run1,iBUS Only,128,82.2391,81.5118,82.9795
BC5CDR,2%,run1,iBUS Only,256,83.4675,81.529,85.5004
BC5CDR,2%,run1,iBUS Only,512,81.322,81.7346,80.9136
BC5CDR,2%,run1,iBUS Only,1024,82.2559,81.3264,83.207
BC5CDR,2%,run1,COSINER Only,64,83.0249,77.9126,88.8552
BC5CDR,2%,run1,COSINER Only,128,82.9664,79.1667,87.1494
BC5CDR,2%,run1,COSINER Only,256,83.3561,80.3305,86.6187
BC5CDR,2%,run1,COSINER Only,512,82.2408,77.5706,87.5095
BC5CDR,2%,run1,COSINER Only,1024,83.4826,78.4275,89.2343
BC5CDR,2%,run1,iBUS+COSINER,64,82.0884,75.2488,90.2957
BC5CDR,2%,run1,iBUS+COSINER,128,82.3997,78.7293,86.4291
BC5CDR,2%,run1,iBUS+COSINER,256,82.9147,77.967,88.533
BC5CDR,2%,run1,iBUS+COSINER,512,82.8632,77.4555,89.0826
BC5CDR,2%,run1,iBUS+COSINER,1024,82.9903,78.3084,88.2676
