id,original_tokens,kept_tokens,removed
163,2,2,0
612,27,27,0
3882,22,22,0
1743,15,15,0
3924,11,11,0
4518,24,24,0
2928,18,18,0
115,12,12,0
2657,16,16,0
732,41,41,0
4725,16,16,0
1640,21,21,0
1056,54,54,0
2511,30,30,0
3568,29,29,0
5369,33,32,1
5424,21,21,0
4125,71,71,0
4942,8,8,0
3167,25,25,0
4029,28,28,0
4288,7,7,0
1898,22,22,0
393,3,3,0
5010,2,2,0
2013,18,18,0
4594,22,22,0
1102,22,22,0
5116,42,16,26
3115,69,69,0
643,11,11,0
3968,12,12,0
269,36,36,0
3457,8,8,0
682,17,17,0
5218,13,13,0
4831,13,13,0
3548,31,31,0
195,41,41,0
51,22,22,0
4408,44,16,28
1064,16,16,0
5042,26,26,0
3673,21,16,5
5338,19,19,0
4828,16,16,0
3637,39,39,0
4168,17,17,0
4811,26,16,10
313,27,16,11
1411,14,14,0
478,32,32,0
3592,17,17,0
4474,21,21,0
3110,9,9,0
5111,30,30,0
2216,16,16,0
230,16,16,0
801,22,22,0
3221,47,47,0
1319,43,43,0
5412,13,13,0
3149,37,16,21
4209,21,21,0
3137,31,31,0
3322,30,30,0
4343,40,40,0
2419,33,33,0
3053,30,30,0
1699,20,16,4
3449,15,15,0
1193,39,39,0
1917,20,20,0
2660,24,24,0
180,18,18,0
2046,15,15,0
4358,17,17,0
1393,40,16,24
5308,22,22,0
937,52,16,36
5212,30,30,0
1823,18,18,0
715,25,25,0
200,10,10,0
4728,16,16,0
373,29,29,0
272,33,32,1
2031,40,40,0
637,36,16,20
1019,24,24,0
4978,11,11,0
1167,9,9,0
4101,37,32,5
3484,24,24,0
4671,36,36,0
5352,24,24,0
4848,34,34,0
1661,25,25,0
4432,31,31,0
1043,8,8,0
2199,8,8,0
3083,24,24,0
4624,30,30,0
4181,25,25,0
1080,27,27,0
3690,20,16,4
3458,30,30,0
5300,2,2,0
1282,52,16,36
3800,2,2,0
4852,17,16,1
701,24,24,0
530,23,23,0
257,48,48,0
1742,11,11,0
3158,26,26,0
86,44,44,0
1386,18,18,0
1647,15,15,0
825,16,16,0
1828,45,45,0
4078,18,18,0
2640,37,37,0
2613,18,18,0
1182,23,23,0
3405,14,14,0
4307,20,20,0
187,11,11,0
4306,4,4,0
4421,24,24,0
3940,13,13,0
3899,39,39,0
4924,20,20,0
433,19,19,0
902,54,54,0
3711,43,43,0
2785,18,18,0
1450,12,12,0
935,34,34,0
4540,38,38,0
2268,11,11,0
3433,40,40,0
4571,13,13,0
1735,26,26,0
2897,31,16,15
3034,20,20,0
25,22,22,0
2261,30,16,14
4753,7,7,0
5327,28,28,0
2440,9,9,0
1033,23,23,0
205,48,48,0
4761,27,27,0
4875,55,16,39
549,27,27,0
2310,16,16,0
532,30,30,0
831,17,17,0
698,4,4,0
2777,20,20,0
5241,24,16,8
2078,25,25,0
3934,10,10,0
1013,18,16,2
3985,12,12,0
3108,10,10,0
3076,17,17,0
1808,2,2,0
3099,47,47,0
5251,32,32,0
1585,29,29,0
4949,17,17,0
632,45,45,0
5337,23,23,0
164,7,7,0
676,18,18,0
2188,36,36,0
1385,21,21,0
4925,30,30,0
4829,66,66,0
957,26,26,0
1358,34,34,0
1149,41,41,0
1448,38,38,0
5356,14,14,0
1627,38,38,0
4497,35,32,3
4566,28,28,0
2465,44,44,0
2158,3,3,0
4620,26,26,0
837,13,13,0
2937,35,35,0
3045,17,17,0
4426,31,31,0
2653,12,12,0
5145,26,16,10
2655,22,22,0
954,19,19,0
2352,14,14,0
1910,47,47,0
3600,10,10,0
1833,48,48,0
3554,16,16,0
191,23,23,0
5056,14,14,0
1760,30,16,14
2643,15,15,0
2096,6,6,0
3942,6,6,0
820,24,24,0
4918,29,16,13
2002,11,11,0
2050,25,25,0
4074,22,22,0
