Dataset,Scenario,Run,Method,Seed,F1,P,R
NCBI Disease,5%,full,No Augmentation,64,72.5979,70.4837,74.8428
NCBI Disease,5%,full,No Augmentation,128,72.2503,69.6498,75.0524
NCBI Disease,5%,full,No Augmentation,256,75.271,74.1607,76.4151
NCBI Disease,5%,full,No Augmentation,512,72.6995,70.5824,74.9476
NCBI Disease,5%,full,No Augmentation,1024,73.668,72.0441,75.3669
NCBI Disease,5%,full,iBUS Only,64,72.4208,70.6175,74.3187
NCBI Disease,5%,full,iBUS Only,128,74.2629,70.9647,77.8826
NCBI Disease,5%,full,iBUS Only,256,77.615,74.9268,80.5031
NCBI Disease,5%,full,iBUS Only,512,73.9218,70.8654,77.2537
NCBI Disease,5%,full,iBUS Only,1024,74.8068,73.5562,76.1006
NCBI Disease,5%,full,COSINER Only,64,74.6139,69.1413,81.0273
NCBI Disease,5%,full,COSINER Only,128,73.6313,70.6847,76.8344
NCBI Disease,5%,full,COSINER Only,256,76.4764,72.0779,81.4465
NCBI Disease,5%,full,COSINER Only,512,75.3,71.9885,78.9308
NCBI Disease,5%,full,COSINER Only,1024,72.6637,69.4365,76.2055
NCBI Disease,5%,full,iBUS+COSINER,64,75.3862,74.0891,76.7296
NCBI Disease,5%,full,iBUS+COSINER,128,75.1008,72.3301,78.0922
NCBI Disease,5%,full,iBUS+COSINER,256,76.4244,71.9039,81.5514
NCBI Disease,5%,full,iBUS+COSINER,512,75.4003,70.1897,81.4465
NCBI Disease,5%,full,iBUS+COSINER,1024,76.3889,72.5047,80.7128
NCBI Disease,5%,full,COSINER+iBUS,64,74.297,70.1771,78.9308
NCBI Disease,5%,full,COSINER+iBUS,128,75.8794,72.8764,79.1405
NCBI Disease,5%,full,COSINER+iBUS,256,73.0046,70.8786,75.2621
NCBI Disease,5%,full,COSINER+iBUS,512,76.6328,71.159,83.0189
NCBI Disease,5%,full,COSINER+iBUS,1024,76.0749,73.5093,78.826
NCBI Disease,5%,full,ADAMER Only,64,76.5209,73.5266,79.7694
NCBI Disease,5%,full,ADAMER Only,128,72.9327,71.5005,74.4235
NCBI Disease,5%,full,ADAMER Only,256,74.0664,73.306,74.8428
NCBI Disease,5%,full,ADAMER Only,512,73.9645,69.8324,78.6164
NCBI Disease,5%,full,ADAMER Only,1024,74.3372,71.1005,77.8826
NCBI Disease,5%,full,ADAMER+iBUS,64,75.5463,75.0,76.1006
NCBI Disease,5%,full,ADAMER+iBUS,128,73.9437,71.0832,77.044
NCBI Disease,5%,full,ADAMER+iBUS,256,77.727,75.3196,80.2935
NCBI Disease,5%,full,ADAMER+iBUS,512,75.7098,75.9494,75.4717
NCBI Disease,5%,full,ADAMER+iBUS,1024,75.2656,72.7273,77.9874
NCBI Disease,5%,full,iBUS+ADAMER,64,76.4881,72.5989,80.8176
NCBI Disease,5%,full,iBUS+ADAMER,128,77.2611,75.3739,79.2453
NCBI Disease,5%,full,iBUS+ADAMER,256,78.8861,76.2977,81.6562
NCBI Disease,5%,full,iBUS+ADAMER,512,75.5802,72.8599,78.5115
NCBI Disease,5%,full,iBUS+ADAMER,1024,75.3,71.9885,78.9308
